Severity,Type,Code,Source,Description,Count,Asset,Site
High,Event,16:3,Engine,High Engine Coolant Temperature Shutdown,2,SLM00547,Jim O'Brien
High,Event,40:3,Engine,Low Engine Oil Pressure Shutdown,4,SLM00547,Jim O'Brien
High,Event,4:3,Engine,Engine Overspeed Shutdown,4,SLM00547,Jim O'Brien
Low,Diagnostic,100:2,Engine,"Engine Oil Pressure Sensor:Erratic, Intermittent, or Incorrect",4,SLM00547,Jim O'Brien
Low,Diagnostic,100:3,Engine,Engine Oil Pressure Sensor:Voltage Above Normal,2,SLM00547,Jim O'Brien
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2,SLM00547,Jim O'Brien
Low,Diagnostic,175:3,Engine,Engine Oil Temperature Sensor:Voltage Above Normal,1,SLM00547,Jim O'Brien
Low,Diagnostic,2738:3,Engine,Turbocharger #1 Compressor Inlet Pressure Sensor:Voltage Above Normal,1,SLM00547,Jim O'Brien
Low,Diagnostic,2739:3,Engine,Turbocharger #2 Compressor Inlet Pressure Sensor:Voltage Above Normal,1,SLM00547,Jim O'Brien
Low,Diagnostic,279:3,Engine,Aftercooler Coolant Temperature Sensor (Front):Voltage Above Normal,1,SLM00547,Jim O'Brien
Low,Diagnostic,289:3,Engine,Fuel Pressure Sensor - Before Fuel Filter:Voltage Above Normal,1,SLM00547,Jim O'Brien
Low,Diagnostic,542:2,Engine,"Engine Oil Pressure Sensor - Before Oil Filter:Erratic, Intermittent, or Incorrect",4,SLM00547,Jim O'Brien
Low,Diagnostic,542:3,Engine,Engine Oil Pressure Sensor - Before Oil Filter:Voltage Above Normal,1,SLM00547,Jim O'Brien
Low,Diagnostic,94:3,Engine,Fuel Delivery Pressure Sensor:Voltage Above Normal,1,SLM00547,Jim O'Brien
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,7,SLM00547,Jim O'Brien
Low,Event,162:1,Engine,High Boost Pressure,9,SLM00547,Jim O'Brien
Low,Event,17:1,Engine,High Engine Coolant Temperature Warning,2,SLM00547,Jim O'Brien
Low,Event,190:1,Engine,Engine Overspeed Warning,4,SLM00547,Jim O'Brien
Low,Event,99:1,Engine,Engine Oil Filter Restriction Warning,4,SLM00547,Jim O'Brien
Medium,Diagnostic,110:3,Engine,Engine Coolant Temperature Sensor:Voltage Above Normal,2,SLM00547,Jim O'Brien
Medium,Diagnostic,273:3,Engine,Turbocharger Outlet Pressure Sensor:Voltage Above Normal,5,SLM00547,Jim O'Brien
Medium,Diagnostic,274:3,Engine,Atmospheric Pressure Sensor:Voltage Above Normal,1,SLM00547,Jim O'Brien
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,7,SLM00547,Jim O'Brien
Medium,Diagnostic,91:8,Engine,"Throttle Position Sensor:Abnormal Frequency, Pulse Width, or Period",1,SLM00547,Jim O'Brien
Medium,Event,15:2,Engine,High Engine Coolant Temperature Derate,2,SLM00547,Jim O'Brien
