Severity,Type,Code,Source,Description,Timestamp,Run_Hours,Asset,Site
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2022-04-27 17:22:44,5291,SLM00546,Jim O'Brien
Low,Diagnostic,105:3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2022-04-22 11:57:12,5288,SLM00546,Jim O'Brien
Low,Event,17:1,Engine,High Engine Coolant Temperature Warning,2022-04-22 11:57:11,5288,SLM00546,Jim O'Brien
High,Event,16:3,Engine,High Engine Coolant Temperature Shutdown,2022-04-22 11:57:11,5288,SLM00546,Jim O'Brien
Medium,Event,15:2,Engine,High Engine Coolant Temperature Derate,2022-04-22 11:57:11,5288,SLM00546,Jim O'Brien
High,Event,4:3,Engine,Engine Overspeed Shutdown,2022-04-22 11:40:53,5288,SLM00546,Jim O'Brien
Low,Event,190:1,Engine,Engine Overspeed Warning,2022-04-22 11:40:53,5288,SLM00546,Jim O'Brien
Low,Diagnostic,542:2,Engine,"Engine Oil Pressure Sensor - Before Oil Filter:Erratic, Intermittent, or Incorrect",2022-04-22 11:40:20,5288,SLM00546,Jim O'Brien
Low,Diagnostic,100:2,Engine,"Engine Oil Pressure Sensor:Erratic, Intermittent, or Incorrect",2022-04-22 11:40:20,5288,SLM00546,Jim O'Brien
High,Event,40:3,Engine,Low Engine Oil Pressure Shutdown,2022-04-22 11:34:43,5288,SLM00546,Jim O'Brien
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,2022-04-22 11:34:38,5288,SLM00546,Jim O'Brien
Low,Event,99:1,Engine,Engine Oil Filter Restriction Warning,2022-04-22 11:33:27,5288,SLM00546,Jim O'Brien
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-04-22 10:44:28,5288,SLM00546,Jim O'Brien
Medium,Diagnostic,91:8,Engine,"Throttle Position Sensor:Abnormal Frequency, Pulse Width, or Period",2022-03-07 21:18:56,5224,SLM00546,Jim O'Brien
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2022-03-07 19:43:35,5224,SLM00546,Jim O'Brien
Medium,Diagnostic,273:3,Engine,Turbocharger Outlet Pressure Sensor:Voltage Above Normal,2022-02-12 17:54:29,5128,SLM00546,Jim O'Brien
Medium,Diagnostic,110:3,Engine,Engine Coolant Temperature Sensor:Voltage Above Normal,2021-12-03 13:17:23,4993,SLM00546,Jim O'Brien
High,Event,16:3,Engine,High Engine Coolant Temperature Shutdown,2021-12-03 11:46:58,4993,SLM00546,Jim O'Brien
Low,Event,17:1,Engine,High Engine Coolant Temperature Warning,2021-12-03 11:46:58,4993,SLM00546,Jim O'Brien
Medium,Event,15:2,Engine,High Engine Coolant Temperature Derate,2021-12-03 11:46:56,4993,SLM00546,Jim O'Brien
Low,Event,190:1,Engine,Engine Overspeed Warning,2021-12-03 11:46:56,4993,SLM00546,Jim O'Brien
High,Event,4:3,Engine,Engine Overspeed Shutdown,2021-12-03 11:43:14,4993,SLM00546,Jim O'Brien
Low,Diagnostic,542:2,Engine,"Engine Oil Pressure Sensor - Before Oil Filter:Erratic, Intermittent, or Incorrect",2021-12-03 11:42:42,4993,SLM00546,Jim O'Brien
High,Event,40:3,Engine,Low Engine Oil Pressure Shutdown,2021-12-03 11:42:37,4993,SLM00546,Jim O'Brien
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,2021-12-03 11:42:37,4993,SLM00546,Jim O'Brien
Low,Event,99:1,Engine,Engine Oil Filter Restriction Warning,2021-12-03 11:42:37,4993,SLM00546,Jim O'Brien
Low,Diagnostic,100:2,Engine,"Engine Oil Pressure Sensor:Erratic, Intermittent, or Incorrect",2021-12-03 11:42:37,4993,SLM00546,Jim O'Brien
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-12-02 14:48:48,4992,SLM00546,Jim O'Brien
Low,Event,190:1,Engine,Engine Overspeed Warning,2021-09-09 19:40:20,4929,SLM00546,Jim O'Brien
High,Event,4:3,Engine,Engine Overspeed Shutdown,2021-09-09 19:40:20,4929,SLM00546,Jim O'Brien
High,Event,40:3,Engine,Low Engine Oil Pressure Shutdown,2021-09-09 19:38:29,4929,SLM00546,Jim O'Brien
Low,Event,100:1,Engine,Low Engine Oil Pressure Warning,2021-09-09 19:38:24,4929,SLM00546,Jim O'Brien
Low,Event,99:1,Engine,Engine Oil Filter Restriction Warning,2021-09-09 19:37:47,4929,SLM00546,Jim O'Brien
Low,Diagnostic,100:2,Engine,"Engine Oil Pressure Sensor:Erratic, Intermittent, or Incorrect",2021-09-09 19:37:22,4929,SLM00546,Jim O'Brien
Low,Diagnostic,542:2,Engine,"Engine Oil Pressure Sensor - Before Oil Filter:Erratic, Intermittent, or Incorrect",2021-09-09 19:37:22,4929,SLM00546,Jim O'Brien
Medium,Diagnostic,110:3,Engine,Engine Coolant Temperature Sensor:Voltage Above Normal,2021-09-09 19:36:40,4929,SLM00546,Jim O'Brien
High,Event,16:3,Engine,High Engine Coolant Temperature Shutdown,2021-09-09 19:36:18,4929,SLM00546,Jim O'Brien
Medium,Event,15:2,Engine,High Engine Coolant Temperature Derate,2021-09-09 19:36:13,4929,SLM00546,Jim O'Brien
High,Event,8:3,Engine,High Aftercooler Temperature Shutdown,2021-09-09 19:32:21,4929,SLM00546,Jim O'Brien
Medium,Event,7:2,Engine,High Aftercooler Temperature Derate,2021-09-09 19:31:59,4929,SLM00546,Jim O'Brien
Low,Event,279:1,Engine,High Aftercooler Temperature Warning,2021-09-09 19:31:53,4929,SLM00546,Jim O'Brien
Low,Diagnostic,279:3,Engine,Aftercooler Coolant Temperature Sensor (Front):Voltage Above Normal,2021-09-09 19:31:11,4929,SLM00546,Jim O'Brien
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-09-09 14:58:49,4926,SLM00546,Jim O'Brien
Medium,Diagnostic,590:9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,2021-07-26 06:46:00,4893,SLM00546,Jim O'Brien
